date,TWII,TWII_Open,TWII_High,TWII_Low,SOX,TSMC_TW,TSMC_Vol,TSM_US,ELEC,FIN,USDTWD,ADR_Premium
2020-12-25,14331.419921875,14306.98046875,14400.830078125,14296.9697265625,2750.239990234375,462.8472900390625,12327895,96.94451904296875,49.304092407226562,14.801737785339355,28.11400032043457,17.770949429492291
2020-12-28,14483.0703125,14363.4501953125,14483.0703125,14363.4501953125,2744.300048828125,466.47036743164062,19087382,97.109176635742188,50.1868896484375,14.818471908569336,27.938999176025391,16.32606893976407
2020-12-29,14472.0498046875,14500.91015625,14547.0703125,14435.0302734375,2738.050048828125,466.47036743164062,19907528,96.569419860839844,50.142749786376953,14.818471908569336,28.107000350952148,16.375097216336588
2020-12-30,14687.7001953125,14485.9697265625,14695.4404296875,14476.6904296875,2783.77001953125,475.52801513671875,46292401,99.624992370605469,50.407585144042969,15.111327171325684,28.124599456787109,17.844287491796852
2020-12-31,14732.5302734375,14704.5302734375,14760.0595703125,14646.330078125,2795.5,480.05685424804688,29970398,99.753036499023438,50.937263488769531,15.102960586547852,28.069999694824219,16.655670231866893
2021-01-04,14902.0302734375,14720.25,14937.1298828125,14720.25,2783.2099609375,485.49148559570312,38770328,102.18648529052734,51.643501281738281,15.136429786682129,28.054000854492188,18.096396361740009
2021-01-05,15000.0302734375,14913.6396484375,15000.0302734375,14861.990234375,2837.169921875,490.92599487304688,34411866,103.16534423828125,52.305599212646484,15.119693756103516,28.10099983215332,18.105349946835613
2021-01-06,14983.1298828125,15145.849609375,15197.6796875,14837,2827.9599609375,497.26641845703125,53030554,105.76348876953125,52.526294708251953,15.061123847961426,27.954999923706055,18.914859750924972
2021-01-07,15214,15059.51953125,15270.400390625,15049.8603515625,2937,511.75881958007812,51166782,111.08777618408203,53.850486755371094,15.14479923248291,27.829999923706055,20.821476228370894
2021-01-08,15463.9501953125,15365.1298828125,15463.9501953125,15275.3798828125,2936.469970703125,525.34515380859375,59563555,108.58116149902344,54.998123168945312,15.32050895690918,27.926799774169922,15.441223144311866
2021-01-11,15557.2998046875,15425.580078125,15557.2998046875,15395.73046875,2969.919921875,528.96832275390625,48810990,112.15811920166016,54.998123168945312,15.33724308013916,28.017000198364258,18.809914044058694
2021-01-12,15500.7001953125,15549.5302734375,15642.0302734375,15421.23046875,2988.02001953125,535.30865478515625,50232426,112.5240478515625,55.086399078369141,15.228470802307129,28.020700454711914,17.801295032890742
2021-01-13,15769.98046875,15550.16015625,15778.51953125,15550.16015625,2991.949951171875,547.98944091796875,62662393,109.07515716552734,56.631294250488281,15.295409202575684,27.978000640869141,11.378234294731637
2021-01-14,15707.1904296875,15651.2001953125,15760.150390625,15620.9599609375,3055.639892578125,536.21453857421875,75288477,115.68022155761719,56.366455078125,15.303775787353516,28.017999649047852,20.889240176932788
